Entity,Code,Year,GDP per capita,900793-annotations
Afghanistan,AFG,2022,1357.9878,
Albania,ALB,1870,711,
Albania,ALB,1890,953,
Albania,ALB,1900,1092,
Albania,ALB,1910,1243,
Albania,ALB,1913,1293,
Albania,ALB,1929,1476,
Albania,ALB,1950,1596,
Albania,ALB,1951,1666,
Albania,ALB,1952,1667,
Albania,ALB,1953,1736,
Albania,ALB,1954,1785,
Albania,ALB,1955,1882,
Albania,ALB,1956,1902,
Albania,ALB,1957,2023,
Albania,ALB,1958,2114,
Albania,ALB,1959,2201,
Albania,ALB,1960,2313,
Albania,ALB,1961,2332,
Albania,ALB,1962,2409,
Albania,ALB,1963,2491,
Albania,ALB,1964,2576,
Albania,ALB,1965,2670,
Albania,ALB,1966,2770,
Albania,ALB,1967,2876,
Albania,ALB,1968,2979,
Albania,ALB,1969,3080,
Albania,ALB,1970,3194,
Albania,ALB,1971,3322,
Albania,ALB,1972,3451,
Albania,ALB,1973,3623,
Albania,ALB,1974,3637,
Albania,ALB,1975,3649,
Albania,ALB,1976,3665,
Albania,ALB,1977,3681,
Albania,ALB,1978,3696,
Albania,ALB,1979,3716,
Albania,ALB,1980,3741,
Albania,ALB,1981,3762,
Albania,ALB,1982,3783,
Albania,ALB,1983,3805,
Albania,ALB,1984,3826,
Albania,ALB,1985,3846,
Albania,ALB,1986,3870,
Albania,ALB,1987,3894,
Albania,ALB,1988,3920,
Albania,ALB,1989,3948,
Albania,ALB,1990,3983,
Albania,ALB,1991,2942.1006,
Albania,ALB,1992,2841.7651,
Albania,ALB,1993,3137.024,
Albania,ALB,1994,3399.7102,
Albania,ALB,1995,3666.6506,
Albania,ALB,1996,3965.6853,
Albania,ALB,1997,3526.9856,
Albania,ALB,1998,3873.373,
Albania,ALB,1999,4432.0425,
Albania,ALB,2000,4808.4795,
Albania,ALB,2001,5285.809,
Albania,ALB,2002,5608.9624,
Albania,ALB,2003,6004.645,
Albania,ALB,2004,6419.8706,
Albania,ALB,2005,6858.4673,
Albania,ALB,2006,7347.33,
Albania,ALB,2007,7866.1577,
Albania,ALB,2008,8522.13,
Albania,ALB,2009,8859.472,
Albania,ALB,2010,9222.973,
Albania,ALB,2011,9484,
Albania,ALB,2012,9634.334,
Albania,ALB,2013,9748.728,
Albania,ALB,2014,9942.276,
Albania,ALB,2015,10192.529,
Albania,ALB,2016,10547.255,
Albania,ALB,2017,10958.307,
Albania,ALB,2018,11426.92,
Albania,ALB,2019,11715.307,
Albania,ALB,2020,11372.541,
Albania,ALB,2021,12455.917,
Albania,ALB,2022,12978.101,
Algeria,DZA,1820,685,
Algeria,DZA,1870,1140,
Algeria,DZA,1913,1854,
Algeria,DZA,1950,2176,
Algeria,DZA,1951,2147,
Algeria,DZA,1952,2193,
Algeria,DZA,1953,2182,
Algeria,DZA,1954,2291,
Algeria,DZA,1955,2303,
Algeria,DZA,1956,2475,
Algeria,DZA,1957,2699,
Algeria,DZA,1958,2740,
Algeria,DZA,1959,3178,
Algeria,DZA,1960,3328,
Algeria,DZA,1961,2868,
Algeria,DZA,1962,2284,
Algeria,DZA,1963,2818,
Algeria,DZA,1964,2879,
Algeria,DZA,1965,2981,
Algeria,DZA,1966,2750,
Algeria,DZA,1967,2907,
Algeria,DZA,1968,3151,
Algeria,DZA,1969,3355,
Algeria,DZA,1970,3585,
Algeria,DZA,1971,3188,
Algeria,DZA,1972,3746,
Algeria,DZA,1973,3757,
Algeria,DZA,1974,3870,
Algeria,DZA,1975,4020,
Algeria,DZA,1976,4157,
Algeria,DZA,1977,4398,
Algeria,DZA,1978,4812,
Algeria,DZA,1979,5088,
Algeria,DZA,1980,5024,
Algeria,DZA,1981,4991,
Algeria,DZA,1982,5145,
Algeria,DZA,1983,5243,
Algeria,DZA,1984,5361,
Algeria,DZA,1985,5469,
Algeria,DZA,1986,5262,
Algeria,DZA,1987,5088,
Algeria,DZA,1988,4850,
Algeria,DZA,1989,4889,
Algeria,DZA,1990,4697,
Algeria,DZA,1991,4708.232,
Algeria,DZA,1992,4850.223,
Algeria,DZA,1993,4816.924,
Algeria,DZA,1994,4856.9854,
Algeria,DZA,1995,5142.384,
Algeria,DZA,1996,5451.6343,
Algeria,DZA,1997,5638.48,
Algeria,DZA,1998,6069.7773,
Algeria,DZA,1999,6421.5083,
Algeria,DZA,2000,6834.5537,
Algeria,DZA,2001,7218.2456,
Algeria,DZA,2002,7814.8384,
Algeria,DZA,2003,8590.178,
Algeria,DZA,2004,9182.294,
Algeria,DZA,2005,9969.623,
Algeria,DZA,2006,10385.779,
Algeria,DZA,2007,10974.742,
Algeria,DZA,2008,11475.002,
Algeria,DZA,2009,11907.021,
Algeria,DZA,2010,12587.744,
Algeria,DZA,2011,13204,
Algeria,DZA,2012,13392.944,
Algeria,DZA,2013,13508.265,
Algeria,DZA,2014,13760.384,
Algeria,DZA,2015,14007.894,
Algeria,DZA,2016,14198.272,
Algeria,DZA,2017,14149.915,
Algeria,DZA,2018,14083.772,
Algeria,DZA,2019,14000.279,
Algeria,DZA,2020,13086.293,
Algeria,DZA,2021,13337.262,
Algeria,DZA,2022,13506.444,
Angola,AGO,1950,1677,
Angola,AGO,1951,1715,
Angola,AGO,1952,1755,
Angola,AGO,1953,1795,
Angola,AGO,1954,1720,
Angola,AGO,1955,1830,
Angola,AGO,1956,1769,
Angola,AGO,1957,1908,
Angola,AGO,1958,1978,
Angola,AGO,1959,1953,
Angola,AGO,1960,1997,
Angola,AGO,1961,2225,
Angola,AGO,1962,2128,
Angola,AGO,1963,2200,
Angola,AGO,1964,2407,
Angola,AGO,1965,2544,
Angola,AGO,1966,2646,
Angola,AGO,1967,2753,
Angola,AGO,1968,2665,
Angola,AGO,1969,2695,
Angola,AGO,1970,2818,
Angola,AGO,1971,2754,
Angola,AGO,1972,2729,
Angola,AGO,1973,2852,
Angola,AGO,1974,2727,
Angola,AGO,1975,1710,
Angola,AGO,1976,1521,
Angola,AGO,1977,1500,
Angola,AGO,1978,1530,
Angola,AGO,1979,1527,
Angola,AGO,1980,1532,
Angola,AGO,1981,1471,
Angola,AGO,1982,1374,
Angola,AGO,1983,1288,
Angola,AGO,1984,1259,
Angola,AGO,1985,1242,
Angola,AGO,1986,1106,
Angola,AGO,1987,1211,
Angola,AGO,1988,1360,
Angola,AGO,1989,1360,
Angola,AGO,1990,1384,
Angola,AGO,1991,1437.1472,
Angola,AGO,1992,1389.3295,
Angola,AGO,1993,1080.4806,
Angola,AGO,1994,1120.8481,
Angola,AGO,1995,1319.1589,
Angola,AGO,1996,1533.9839,
Angola,AGO,1997,1687.3177,
Angola,AGO,1998,1811.1681,
Angola,AGO,1999,1899.4152,
Angola,AGO,2000,2013.6362,
Angola,AGO,2001,2162.485,
Angola,AGO,2002,2522.6719,
Angola,AGO,2003,2711.9282,
Angola,AGO,2004,3064.2986,
Angola,AGO,2005,3708.7705,
Angola,AGO,2006,4592.3374,
Angola,AGO,2007,5773.5483,
Angola,AGO,2008,6743.748,
Angola,AGO,2009,7087.604,
Angola,AGO,2010,7520.6655,
Angola,AGO,2011,8016,
Angola,AGO,2012,8376.946,
Angola,AGO,2013,8463.942,
Angola,AGO,2014,8548.293,
Angola,AGO,2015,8319.567,
Angola,AGO,2016,7819.1475,
Angola,AGO,2017,7535.6123,
Angola,AGO,2018,7180.3555,
Angola,AGO,2019,6886.954,
Angola,AGO,2020,6279.929,
Angola,AGO,2021,6137.004,
Angola,AGO,2022,6118.905,
Argentina,ARG,1800,1484,
Argentina,ARG,1820,1591,
Argentina,ARG,1850,1994,
Argentina,ARG,1860,2160,
Argentina,ARG,1870,2340,
Argentina,ARG,1875,2606,
Argentina,ARG,1876,2611,
Argentina,ARG,1877,2820,
Argentina,ARG,1878,2619,
Argentina,ARG,1879,2664,
Argentina,ARG,1880,2557,
Argentina,ARG,1881,2541,
Argentina,ARG,1882,3108,
Argentina,ARG,1883,3373,
Argentina,ARG,1884,3486,
Argentina,ARG,1885,3904,
Argentina,ARG,1886,3771,
Argentina,ARG,1887,3841,
Argentina,ARG,1888,4219,
Argentina,ARG,1889,4288,
Argentina,ARG,1890,3851,
Argentina,ARG,1891,3631,
Argentina,ARG,1892,4251,
Argentina,ARG,1893,4409,
Argentina,ARG,1894,4968,
Argentina,ARG,1895,5384,
Argentina,ARG,1896,5716,
Argentina,ARG,1897,4500,
Argentina,ARG,1898,4741,
Argentina,ARG,1899,5412,
Argentina,ARG,1900,4583,
Argentina,ARG,1901,4591,
Argentina,ARG,1902,4331,
Argentina,ARG,1903,4769,
Argentina,ARG,1904,5086,
Argentina,ARG,1905,5545,
Argentina,ARG,1906,5608,
Argentina,ARG,1907,5514,
Argentina,ARG,1908,5829,
Argentina,ARG,1909,5896,
Argentina,ARG,1910,6092,
Argentina,ARG,1911,5971,
Argentina,ARG,1912,6223,
Argentina,ARG,1913,6052,
Argentina,ARG,1914,5263,
Argentina,ARG,1915,5171,
Argentina,ARG,1916,4927,
Argentina,ARG,1917,4447,
Argentina,ARG,1918,5177,
Argentina,ARG,1919,5271,
Argentina,ARG,1920,5536,
Argentina,ARG,1921,5533,
Argentina,ARG,1922,5796,
Argentina,ARG,1923,6213,
Argentina,ARG,1924,6464,
Argentina,ARG,1925,6247,
Argentina,ARG,1926,6366,
Argentina,ARG,1927,6625,
Argentina,ARG,1928,6840,
Argentina,ARG,1929,6961,
Argentina,ARG,1930,6503,
Argentina,ARG,1931,5917,
Argentina,ARG,1932,5614,
Argentina,ARG,1933,5772,
Argentina,ARG,1934,6129,
Argentina,ARG,1935,6296,
Argentina,ARG,1936,6236,
Argentina,ARG,1937,6575,
Argentina,ARG,1938,6491,
Argentina,ARG,1939,6612,
Argentina,ARG,1940,6633,
Argentina,ARG,1941,6861,
Argentina,ARG,1942,6829,
Argentina,ARG,1943,6666,
Argentina,ARG,1944,7299,
Argentina,ARG,1945,6943,
Argentina,ARG,1946,7436,
Argentina,ARG,1947,8112,
Argentina,ARG,1948,8372,
Argentina,ARG,1949,8045,
Argentina,ARG,1950,7949,
Argentina,ARG,1951,8086,
Argentina,ARG,1952,7519,
Argentina,ARG,1953,7769,
Argentina,ARG,1954,7938,
Argentina,ARG,1955,8348,
Argentina,ARG,1956,8424,
Argentina,ARG,1957,8705,
Argentina,ARG,1958,9083,
Argentina,ARG,1959,8354,
Argentina,ARG,1960,8861,
Argentina,ARG,1961,9344,
Argentina,ARG,1962,9049,
Argentina,ARG,1963,8695,
Argentina,ARG,1964,9446,
Argentina,ARG,1965,10155,
Argentina,ARG,1966,10076,
Argentina,ARG,1967,10200,
Argentina,ARG,1968,10485,
Argentina,ARG,1969,11217,
Argentina,ARG,1970,11639,
Argentina,ARG,1971,12003,
Argentina,ARG,1972,12170,
Argentina,ARG,1973,12691,
Argentina,ARG,1974,13284,
Argentina,ARG,1975,12946,
Argentina,ARG,1976,12696,
Argentina,ARG,1977,13236,
Argentina,ARG,1978,12444,
Argentina,ARG,1979,13114,
Argentina,ARG,1980,13080,
Argentina,ARG,1981,12125,
Argentina,ARG,1982,11550,
Argentina,ARG,1983,11775,
Argentina,ARG,1984,11837,
Argentina,ARG,1985,10895,
Argentina,ARG,1986,11515,
Argentina,ARG,1987,11633,
Argentina,ARG,1988,11244,
Argentina,ARG,1989,10393,
Argentina,ARG,1990,10254,
Argentina,ARG,1991,11223.984,
Argentina,ARG,1992,12267.084,
Argentina,ARG,1993,12926.795,
Argentina,ARG,1994,13571.38,
Argentina,ARG,1995,13086.036,
Argentina,ARG,1996,13715.227,
Argentina,ARG,1997,14722.6455,
Argentina,ARG,1998,15185.959,
Argentina,ARG,1999,14577.832,
Argentina,ARG,2000,14368.942,
Argentina,ARG,2001,13651.981,
Argentina,ARG,2002,12094.772,
Argentina,ARG,2003,13088.565,
Argentina,ARG,2004,14183.226,
Argentina,ARG,2005,15344.157,
Argentina,ARG,2006,16490.473,
Argentina,ARG,2007,17891.943,
Argentina,ARG,2008,18520.305,
Argentina,ARG,2009,17328.977,
Argentina,ARG,2010,18979.992,
Argentina,ARG,2011,20003,
Argentina,ARG,2012,19573.963,
Argentina,ARG,2013,19821.643,
Argentina,ARG,2014,19112.232,
Argentina,ARG,2015,19423.666,
Argentina,ARG,2016,18819.643,
Argentina,ARG,2017,19150.52,
Argentina,ARG,2018,18460.87,
Argentina,ARG,2019,17912.637,
Argentina,ARG,2020,15975.839,
Argentina,ARG,2021,17470.682,
Argentina,ARG,2022,18292.318,
Armenia,ARM,1973,9806,
Armenia,ARM,1980,9291,
Armenia,ARM,1981,9548,
Armenia,ARM,1982,9809,
Armenia,ARM,1983,9865,
Armenia,ARM,1984,10181,
Armenia,ARM,1985,10485,
Armenia,ARM,1986,10394,
Armenia,ARM,1987,9789,
Armenia,ARM,1988,9301,
Armenia,ARM,1989,10525,
Armenia,ARM,1990,9669,
Armenia,ARM,1991,8141.671,
Armenia,ARM,1992,4699.611,
Armenia,ARM,1993,4130.1475,
Armenia,ARM,1994,4392.98,
Armenia,ARM,1995,4703.131,
Armenia,ARM,1996,4811.4897,
Armenia,ARM,1997,4836.0444,
Armenia,ARM,1998,4994.053,
Armenia,ARM,1999,5000.4526,
Armenia,ARM,2000,5139.8257,
Armenia,ARM,2001,5457.5103,
Armenia,ARM,2002,6082.146,
Armenia,ARM,2003,6743.241,
Armenia,ARM,2004,7229.6484,
Armenia,ARM,2005,8006.9604,
Armenia,ARM,2006,8798.75,
Armenia,ARM,2007,9713.213,
Armenia,ARM,2008,10080.8125,
Armenia,ARM,2009,8399.087,
Armenia,ARM,2010,8330.812,
Armenia,ARM,2011,8465,
Armenia,ARM,2012,9076.433,
Armenia,ARM,2013,9395.087,
Armenia,ARM,2014,9745.136,
Armenia,ARM,2015,10076.352,
Armenia,ARM,2016,10113.051,
Armenia,ARM,2017,10894.957,
Armenia,ARM,2018,11490.369,
Armenia,ARM,2019,12399.231,
Armenia,ARM,2020,11546.176,
Armenia,ARM,2021,12242.478,
Armenia,ARM,2022,13837.577,
Australia,AUS,1820,826,
Australia,AUS,1821,834,
Australia,AUS,1822,858,
Australia,AUS,1823,886,
Australia,AUS,1824,936,
Australia,AUS,1825,982,
Australia,AUS,1826,999,
Australia,AUS,1827,1030,
Australia,AUS,1828,1057,
Australia,AUS,1829,1114,
Australia,AUS,1830,1352,
Australia,AUS,1831,1398,
Australia,AUS,1832,1428,
Australia,AUS,1833,1435,
Australia,AUS,1834,1508,
Australia,AUS,1835,1825,
Australia,AUS,1836,1793,
Australia,AUS,1837,1881,
Australia,AUS,1838,1857,
Australia,AUS,1839,1733,
Australia,AUS,1840,2190,
Australia,AUS,1841,1868,
Australia,AUS,1842,1704,
Australia,AUS,1843,1975,
Australia,AUS,1844,2246,
Australia,AUS,1845,2310,
Australia,AUS,1846,2554,
Australia,AUS,1847,2954,
Australia,AUS,1848,3381,
Australia,AUS,1849,3339,
Australia,AUS,1850,3148,
Australia,AUS,1851,3736,
Australia,AUS,1852,4382,
Australia,AUS,1853,4798,
Australia,AUS,1854,4202,
Australia,AUS,1855,3988,
Australia,AUS,1856,4866,
Australia,AUS,1857,4294,
Australia,AUS,1858,3661,
Australia,AUS,1859,4728,
Australia,AUS,1860,4613,
Australia,AUS,1861,4544,
Australia,AUS,1862,4368,
Australia,AUS,1863,4352,
Australia,AUS,1864,4616,
Australia,AUS,1865,4403,
Australia,AUS,1866,4532,
Australia,AUS,1867,4956,
Australia,AUS,1868,5031,
Australia,AUS,1869,4932,
Australia,AUS,1870,5217,
Australia,AUS,1871,5259,
Australia,AUS,1872,5663,
Australia,AUS,1873,6095,
Australia,AUS,1874,6113,
Australia,AUS,1875,6596,
Australia,AUS,1876,6387,
Australia,AUS,1877,6433,
Australia,AUS,1878,6817,
Australia,AUS,1879,6703,
Australia,AUS,1880,6830,
Australia,AUS,1881,7101,
Australia,AUS,1882,6476,
Australia,AUS,1883,7133,
Australia,AUS,1884,6861,
Australia,AUS,1885,7049,
Australia,AUS,1886,6900,
Australia,AUS,1887,7383,
Australia,AUS,1888,7179,
Australia,AUS,1889,7567,
Australia,AUS,1890,7106,
Australia,AUS,1891,7438,
Australia,AUS,1892,6368,
Australia,AUS,1893,5910,
Australia,AUS,1894,6003,
Australia,AUS,1895,5558,
Australia,AUS,1896,5874,
Australia,AUS,1897,5451,
Australia,AUS,1898,6202,
Australia,AUS,1899,6121,
Australia,AUS,1900,6397,
Australia,AUS,1901,6119,
Australia,AUS,1902,6094,
Australia,AUS,1903,6497,
Australia,AUS,1904,6846,
Australia,AUS,1905,6825,
Australia,AUS,1906,7184,
Australia,AUS,1907,7358,
Australia,AUS,1908,7481,
Australia,AUS,1909,7940,
Australia,AUS,1910,8305,
Australia,AUS,1911,8136,
Australia,AUS,1912,8126,
Australia,AUS,1913,8220,
Australia,AUS,1914,8013,
Australia,AUS,1915,7806,
Australia,AUS,1916,7775,
Australia,AUS,1917,7637,
Australia,AUS,1918,7336,
Australia,AUS,1919,7517,
Australia,AUS,1920,7597,
Australia,AUS,1921,7828,
Australia,AUS,1922,8072,
Australia,AUS,1923,8276,
Australia,AUS,1924,8635,
Australia,AUS,1925,8851,
Australia,AUS,1926,8883,
Australia,AUS,1927,8837,
Australia,AUS,1928,8690,
Australia,AUS,1929,8389,
Australia,AUS,1930,7504,
Australia,AUS,1931,6940,
Australia,AUS,1932,7275,
Australia,AUS,1933,7718,
Australia,AUS,1934,8066,
Australia,AUS,1935,8477,
Australia,AUS,1936,8792,
Australia,AUS,1937,9159,
Australia,AUS,1938,9382,
Australia,AUS,1939,9318,
Australia,AUS,1940,9828,
Australia,AUS,1941,10820,
Australia,AUS,1942,11963,
Australia,AUS,1943,12278,
Australia,AUS,1944,11735,
Australia,AUS,1945,11026,
Australia,AUS,1946,10512,
Australia,AUS,1947,10622,
Australia,AUS,1948,11105,
Australia,AUS,1949,11536,
Australia,AUS,1950,11815,
Australia,AUS,1951,11966,
Australia,AUS,1952,11824,
Australia,AUS,1953,11963,
Australia,AUS,1954,12419,
Australia,AUS,1955,12795,
Australia,AUS,1956,12924,
Australia,AUS,1957,12895,
Australia,AUS,1958,13238,
Australia,AUS,1959,13753,
Australia,AUS,1960,14013,
Australia,AUS,1961,13793,
Australia,AUS,1962,14389,
Australia,AUS,1963,14983,
Australia,AUS,1964,15699,
Australia,AUS,1965,16182,
Australia,AUS,1966,16324,
Australia,AUS,1967,17108,
Australia,AUS,1968,17770,
Australia,AUS,1969,18428,
Australia,AUS,1970,19166,
Australia,AUS,1971,19590,
Australia,AUS,1972,19772,
Australia,AUS,1973,20527,
Australia,AUS,1974,20698,
Australia,AUS,1975,20993,
Australia,AUS,1976,21613,
Australia,AUS,1977,21592,
Australia,AUS,1978,21948,
Australia,AUS,1979,22826,
Australia,AUS,1980,22972,
Australia,AUS,1981,23368,
Australia,AUS,1982,22972,
Australia,AUS,1983,22697,
Australia,AUS,1984,24009,
Australia,AUS,1985,24927,
Australia,AUS,1986,25116,
Australia,AUS,1987,25971,
Australia,AUS,1988,26702,
Australia,AUS,1989,27407,
Australia,AUS,1990,27373,
Australia,AUS,1991,26861.275,
Australia,AUS,1992,27560.178,
Australia,AUS,1993,28622.477,
Australia,AUS,1994,29844.172,
Australia,AUS,1995,30690.062,
Australia,AUS,1996,31740.47,
Australia,AUS,1997,32857.992,
Australia,AUS,1998,34337.14,
Australia,AUS,1999,35551.02,
Australia,AUS,2000,36603.047,
Australia,AUS,2001,37275.992,
Australia,AUS,2002,38567.066,
Australia,AUS,2003,39523.656,
Australia,AUS,2004,40887.727,
Australia,AUS,2005,41904.445,
Australia,AUS,2006,42650.984,
Australia,AUS,2007,44033.582,
Australia,AUS,2008,44421.64,
Australia,AUS,2009,44686.543,
Australia,AUS,2010,45400.223,
Australia,AUS,2011,46132,
Australia,AUS,2012,47045.13,
Australia,AUS,2013,47260.953,
Australia,AUS,2014,47753.848,
Australia,AUS,2015,48145.53,
Australia,AUS,2016,48675.137,
Australia,AUS,2017,49001.902,
Australia,AUS,2018,49614.387,
Australia,AUS,2019,49814.67,
Australia,AUS,2020,48268.945,
Australia,AUS,2021,50704.934,
Australia,AUS,2022,52049.43,
Austria,AUT,1820,1941,
Austria,AUT,1830,2230,
Austria,AUT,1840,2415,
Austria,AUT,1850,2630,
Austria,AUT,1860,2834,
Austria,AUT,1870,2970,
Austria,AUT,1871,3154,
Austria,AUT,1872,3150,
Austria,AUT,1873,3049,
Austria,AUT,1874,3158,
Austria,AUT,1875,3145,
Austria,AUT,1876,3188,
Austria,AUT,1877,3268,
Austria,AUT,1878,3347,
Austria,AUT,1879,3296,
Austria,AUT,1880,3314,
Austria,AUT,1881,3419,
Austria,AUT,1882,3411,
Austria,AUT,1883,3521,
Austria,AUT,1884,3583,
Austria,AUT,1885,3531,
Austria,AUT,1886,3615,
Austria,AUT,1887,3832,
Austria,AUT,1888,3792,
Austria,AUT,1889,3725,
Austria,AUT,1890,3894,
Austria,AUT,1891,3995,
Austria,AUT,1892,4041,
Austria,AUT,1893,4025,
Austria,AUT,1894,4216,
Austria,AUT,1895,4285,
Austria,AUT,1896,4305,
Austria,AUT,1897,4352,
Austria,AUT,1898,4551,
Austria,AUT,1899,4600,
Austria,AUT,1900,4594,
Austria,AUT,1901,4565,
Austria,AUT,1902,4694,
Austria,AUT,1903,4688,
Austria,AUT,1904,4712,
Austria,AUT,1905,4925,
Austria,AUT,1906,5062,
Austria,AUT,1907,5321,
Austria,AUT,1908,5292,
Austria,AUT,1909,5222,
Austria,AUT,1910,5244,
Austria,AUT,1911,5364,
Austria,AUT,1912,5587,
Austria,AUT,1913,5523,
Austria,AUT,1914,4584,
Austria,AUT,1915,4229,
Austria,AUT,1916,4189,
Austria,AUT,1917,4122,
Austria,AUT,1918,4073,
Austria,AUT,1919,3601,
Austria,AUT,1920,3845,
Austria,AUT,1921,4224,
Austria,AUT,1922,4586,
Austria,AUT,1923,4530,
Austria,AUT,1924,5042,
Austria,AUT,1925,5367,
Austria,AUT,1926,5440,
Austria,AUT,1927,5587,
Austria,AUT,1928,5829,
Austria,AUT,1929,5896,
Austria,AUT,1930,5716,
Austria,AUT,1931,5241,
Austria,AUT,1932,4686,
Austria,AUT,1933,4516,
Austria,AUT,1934,4546,
Austria,AUT,1935,4634,
Austria,AUT,1936,4774,
Austria,AUT,1937,5031,
Austria,AUT,1938,5673,
Austria,AUT,1939,6529,
Austria,AUT,1940,6311,
Austria,AUT,1941,6722,
Austria,AUT,1942,6349,
Austria,AUT,1943,6480,
Austria,AUT,1944,6618,
Austria,AUT,1945,2750,
Austria,AUT,1946,3118,
Austria,AUT,1947,3453,
Austria,AUT,1948,4406,
Austria,AUT,1949,5249,
Austria,AUT,1950,5907,
Austria,AUT,1951,6311,
Austria,AUT,1952,6323,
Austria,AUT,1953,6594,
Austria,AUT,1954,7261,
Austria,AUT,1955,8054,
Austria,AUT,1956,8603,
Austria,AUT,1957,9111,
Austria,AUT,1958,9416,
Austria,AUT,1959,9645,
Austria,AUT,1960,10391,
Austria,AUT,1961,10882,
Austria,AUT,1962,11078,
Austria,AUT,1963,11454,
Austria,AUT,1964,12062,
Austria,AUT,1965,12328,
Austria,AUT,1966,12930,
Austria,AUT,1967,13225,
Austria,AUT,1968,13742,
Austria,AUT,1969,14555,
Austria,AUT,1970,15537,
Austria,AUT,1971,16259,
Austria,AUT,1972,17169,
Austria,AUT,1973,17908,
Austria,AUT,1974,18583,
Austria,AUT,1975,18564,
Austria,AUT,1976,19448,
Austria,AUT,1977,20350,
Austria,AUT,1978,20293,
Austria,AUT,1979,21436,
Austria,AUT,1980,21932,
Austria,AUT,1981,21866,
Austria,AUT,1982,22254,
Austria,AUT,1983,22944,
Austria,AUT,1984,23016,
Austria,AUT,1985,23514,
Austria,AUT,1986,24039,
Austria,AUT,1987,24409,
Austria,AUT,1988,25112,
Austria,AUT,1989,26078,
Austria,AUT,1990,26930,
Austria,AUT,1991,27689.771,
Austria,AUT,1992,28072.44,
Austria,AUT,1993,28101.229,
Austria,AUT,1994,28780.76,
Austria,AUT,1995,29621.682,
Austria,AUT,1996,30413.156,
Austria,AUT,1997,31173.049,
Austria,AUT,1998,32376.33,
Austria,AUT,1999,33608.297,
Austria,AUT,2000,34796.258,
Austria,AUT,2001,35272.223,
Austria,AUT,2002,35823.586,
Austria,AUT,2003,36063.12,
Austria,AUT,2004,36957.113,
Austria,AUT,2005,37642.76,
Austria,AUT,2006,38866.848,
Austria,AUT,2007,40305.273,
Austria,AUT,2008,40964.793,
Austria,AUT,2009,39463.656,
Austria,AUT,2010,40288.348,
Austria,AUT,2011,41446,
Austria,AUT,2012,41540.94,
Austria,AUT,2013,41301.94,
Austria,AUT,2014,41250.508,
Austria,AUT,2015,41255.715,
Austria,AUT,2016,41545.5,
Austria,AUT,2017,42216.918,
Austria,AUT,2018,43032.215,
Austria,AUT,2019,43488.668,
Austria,AUT,2020,40503.04,
Austria,AUT,2021,42184.695,
Austria,AUT,2022,43792.855,
Azerbaijan,AZE,1973,7068,
Azerbaijan,AZE,1980,7165,
